Sr. No.,Track Name,Album Name,Artist Name,ISRC,UPC,Language,Label,Ad-Supported Streams,Subscription Streams,Jio-Trial Streams,Total Streams
1,Aarti Kunj Bihari Ki,Sublime Bhajans Vol - 2,Trisha Parui,USDCH1024447,709586781524,hindi,Ariha Audio,190,0,0,190
2,Hey Dukh Bhanjan Maruti Nandan,Sublime Bhajans Vol - 9,Gourab Shome,USDCH1036766,612292253448,hindi,Ariha Audio,322,0,0,322
3,Aayo Kaha Se Ghanshyam,Sublime Bhajans,Trisha Parui,USDCH1021715,711099368024,hindi,Ariha Audio,165,0,0,165
4,Shiv Amritwani,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033654,612292246655,hindi,Ariha Audio,13,0,0,13
5,Hare Rama Hare Krishna,Sublime Bhajans,Madhura Banerjee,USDCH1021719,711099368024,hindi,Ariha Audio,167,0,0,167
6,Dhokebaaz,Yeda Kaun?,Yeda Anna,USDCH1043524,630808426858,hindi,"Most Wanted Records, a division of Sippy Media LLP",1,0,0,1
7,Yamuna Ka Tat suna,Sublime Bhajans Vol - 10,Swati Prasad,USDCH1036776,612292253615,hindi,Ariha Audio,4,0,0,4
8,Gopal Sahasranaam,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033644,612292246655,hindi,Ariha Audio,77,0,0,77
9,Parameshwari,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032088,612292244033,hindi,Ariha Audio,2,0,0,2
10,Asatoma Sadgamaya,Sublime Bhajans Vol - 3,Trisha Parui,USDCH1025832,710825994407,hindi,Ariha Audio,61,0,0,61
11,Durga Chalisa,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036762,612292253448,hindi,Ariha Audio,140,0,0,140
12,Raaz,Raaz,Bohemia,USDCH1043320,630808425981,punjabi,Desi Hip Hop Publishing Company,3417,0,0,3417
13,Jaa Tose Nahi Bolu Kanhaiya,Sublime Bhajans,Arijit Chakraborty,USDCH1021720,711099368024,hindi,Ariha Audio,84,0,0,84
14,Pehli Nazar,Pehli Nazar,"Saifar1, Devika",USDCH1500002,711099362619,hindi,Faith Records & sifar1,8,0,0,8
15,Shri Ganesh Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033657,612292246655,hindi,Ariha Audio,88,0,0,88
16,Thinking About You,Thinking About You,"Sofia, Bohemia",USDCH1031994,612292243746,english,Kali Denali Music,1090,0,0,1090
17,Kashi Ke Vashi,Sublime Bhajans Vol - 10,Avijit Das,USDCH1036774,612292253615,hindi,Ariha Audio,1,0,0,1
18,Shambho Mahadeva,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032090,612292244033,hindi,Ariha Audio,3,0,0,3
19,Maya Tera Kanha,Sublime Bhajans Vol - 10,"Swati Prasad, Rupali Zain",USDCH1036775,612292253615,hindi,Ariha Audio,6,0,0,6
20,Shri Krishna Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033658,612292246655,hindi,Ariha Audio,28,0,0,28
21,Hare Krishna Hare Rama,Sublime Bhajans Vol 7,Arijit Chakraborty,USDCH1032136,612292244118,hindi,Ariha Audio,183,0,0,183
22,Devi Kavacham Mantra,Sublime Bhajans Vol. 4,Minakshi mazumdar,USDCH1032099,612292244040,hindi,Ariha Audio,5,0,0,5
23,Radhe Govinda Krishna,Sublime Bhajans Vol - 2,Trisha Parui,USDCH1024449,709586781524,hindi,Ariha Audio,1125,0,0,1125
24,Jaaniya,Jaaniya,"Devika Chawla, Amaan Ali Bangash, Ayaan Ali Bangash",USDCH1041640,630808420498,hindi,"Faith Records, Inc.",1,0,0,1
25,Madhava Madhusudana,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032096,612292244033,hindi,Ariha Audio,5,0,0,5
26,Bold Woman,Bold Woman,Horsepowar,USDCH1032168,612292244163,english,Horsepowar Records,1,0,0,1
27,Sarvesham Svastir Bhavatu,Sublime Bhajans Vol - 2,Minakshi mazumdar,USDCH1024450,709586781524,hindi,Ariha Audio,144,0,0,144
28,Shri Vighneshwar Suprabhatam,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036769,612292253448,hindi,Ariha Audio,91,0,0,91
29,Jaidev Jaidev,Sublime Bhajans,Arijit Chakraborty,USDCH1021722,711099368024,hindi,Ariha Audio,51,0,0,51
30,Ganpati Vandana,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032135,612292244118,hindi,Ariha Audio,55,0,0,55
31,Neer Bharan,Neer Bharan,"Devika, Noor Lodhi",USDCH1036429,612292253226,hindi,Faith Records,10,0,0,10
32,Meter Down,Meter Down,7Bantai'Z,USDCH1043567,630808427039,hindi,"Most Wanted Records, a division of Sippy Media LLP",5827,0,0,5827
33,Jaidev Jaidev,Sublime Bhajans Vol 6,Minakshi Majumdar,USDCH1032129,612292244101,hindi,Ariha Audio,55,0,0,55
34,Kali Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033649,612292246655,hindi,Ariha Audio,31,0,0,31
35,Aaja Piya,Aaja Piya,"Devika, Holmes Ives",USDCH1011682,859707108027,hindi,Faith Records,48,0,0,48
36,Hanuman Amritwani,Sublime Bhajans Vol - 8,Disha Roy,USDCH1033645,612292246655,hindi,Ariha Audio,3,0,0,3
37,Yaa Devi Sarva Bhuteshu,Sublime Bhajans Vol. 4,Nirmalya Roy,USDCH1032100,612292244040,hindi,Ariha Audio,43,0,0,43
38,Gopiyan aa jaengi,Sublime Bhajans Vol - 10,"Avijit Das, Swati Prasad",USDCH1036772,612292253615,hindi,Ariha Audio,8,0,0,8
39,Shri Krishna Sharanam Mamah,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033659,612292246655,hindi,Ariha Audio,165,0,0,165
40,Achyutam Keshavam,Sublime Bhajans,Trisha Parui,USDCH1021716,711099368024,hindi,Ariha Audio,262,0,0,262
41,Rog,Rog,Bohemia,CA5KR2079194,735119599717,punjabi,Desi Hip Hop Publishing Company,2622,0,0,2622
42,Gayatri Mantra,Sublime Bhajans,Madhura Banerjee,USDCH1021724,711099368024,hindi,Ariha Audio,143,0,0,143
43,Jai Madhav Madan Murari,Sublime Bhajans Vol - 2,Minakshi mazumdar,USDCH1024448,709586781524,hindi,Ariha Audio,95,0,0,95
44,Sri Krishna Ashtakam,Sublime Bhajans Vol - 9,Minakshi Majumdar,USDCH1036770,612292253448,hindi,Ariha Audio,186,0,0,186
45,Guru Om,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032093,612292244033,hindi,Ariha Audio,3,0,0,3
46,Aish,Aish,Bohemia,CA5KR2035550,735119434346,punjabi,Desi Hip Hop Publishing Company,538,0,0,538
47,Maha Ganapathim Manasa,Sublime Bhajans Vol - 9,Minakshi Majumdar,USDCH1036767,612292253448,hindi,Ariha Audio,39,0,0,39
48,Raag Jaijaiwanti,Simply Amjad Ali Khan - Vol. 03,Ustad Amjad Ali Khan,USDCH1043467,630808426483,hindi,Sarod Records,1,0,0,1
49,Salute,Salute,Bohemia,USDCH1500003,711099362732,punjabi,Desi Hip Hop Publishing Company,3945,0,0,3945
50,I'M A Chinkey,I'M A Chinkey,Rapper Big Deal,USDCH1043568,630808427053,hindi,"Most Wanted Records, a division of Sippy Media LLP",19,0,0,19
51,Unbelievable,Unbelievable,Horsepowar,USDCH1032884,612292245580,english,Horsepowar Records,1,0,0,1
52,Hanuman Mantra,Sublime Bhajans Vol - 8,Disha Roy,USDCH1033646,612292246655,hindi,Ariha Audio,36,0,0,36
53,Om Namah Shivaya,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032087,612292244033,hindi,Ariha Audio,3,0,0,3
54,Hai Ek Zindagi,Hai Ek Zindagi,"Zack Smith, James Terris, Devika, Lateef the Truthspeaker",CA5KR2082938,735119613819,hindi,"Faith Records, Inc.",2,0,0,2
55,Mere To Giridhar Gopal,Sublime Bhajans,Trisha Parui,USDCH1021723,711099368024,hindi,Ariha Audio,343,0,0,343
56,Kaal Bhairav Sahasranama,Sublime Bhajans Vol - 8,Disha Roy,USDCH1033648,612292246655,hindi,Ariha Audio,9,0,0,9
57,Surya sahasranama,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033662,612292246655,hindi,Ariha Audio,21,0,0,21
58,Radhe Radhe Shyam,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032089,612292244033,hindi,Ariha Audio,8,0,0,8
59,Alakh Niranjan,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032092,612292244033,hindi,Ariha Audio,2,0,0,2
60,Yaad Anah,Yaad Anah,Bohemia,USDCH1014743,700621799375,punjabi,Desi Hip Hop Publishing Company,1281,0,0,1281
61,Shiva Stotram,Sublime Bhajans Vol 6,Arijit Chakraborty,USDCH1032130,612292244101,hindi,Ariha Audio,37,0,0,37
62,Holle Holle,Holle Holle,"Devika, Amaan Ali Bangash, Ayaan Ali Bangash",USDCH1016589,700621800484,hindi,Faith Records,2,0,0,2
63,Ram Raksha Stotra,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033652,612292246655,hindi,Ariha Audio,62,0,0,62
64,Hey Bajrang Bali Hanuman,Sublime Bhajans Vol - 9,Dipjoy Sircar,USDCH1036765,612292253448,hindi,Ariha Audio,19,0,0,19
65,Shriman Narayan,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032091,612292244033,hindi,Ariha Audio,3,0,0,3
66,Raag Shankara,Simply Amjad Ali Khan - Vol. 01,Ustad Amjad Ali Khan,USDCH1043463,630808426469,hindi,Sarod Records,11,0,0,11
67,Mantra Pushpanjali,Sublime Bhajans Vol 7,Trisha Parui,USDCH1032138,612292244118,hindi,Ariha Audio,128,0,0,128
68,Hanuman Bahuk,Sublime Bhajans Vol - 9,Dipjoy Sircar,USDCH1036763,612292253448,hindi,Ariha Audio,11,0,0,11
69,Hanuman Chalisa,Sublime Bhajans Vol - 9,Gourab Shome,USDCH1036764,612292253448,hindi,Ariha Audio,540,0,0,540
70,Aditya Hrudayam Stotram,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036760,612292253448,hindi,Ariha Audio,57,0,0,57
71,Annapurna Stotram,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036761,612292253448,hindi,Ariha Audio,136,0,0,136
72,Krishna Kanhaiya,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032085,612292244033,hindi,Ariha Audio,10,0,0,10
73,Shree Ram Jai Jai Ram Jai Jai Ram,Sublime Bhajans Vol 7,Trisha Parui,USDCH1032142,612292244118,hindi,Ariha Audio,206,0,0,206
74,Shiv Sahasranama,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033655,612292246655,hindi,Ariha Audio,27,0,0,27
75,Omkaraya Namo Namah,Sublime Bhajans Vol - 3,"Partha Pratim Pal, Pabitra Das, Dalia Bhattacharya, Arijit Chakraborty",USDCH1025833,710825994407,hindi,Ariha Audio,14,0,0,14
76,Shani Dev Aarti,Sublime Bhajans Vol - 9,Dipjoy Sircar,USDCH1036768,612292253448,hindi,Ariha Audio,40,0,0,40
77,He Govind He Gopal,Sublime Bhajans Vol 6,Nirmalya Roy,USDCH1032128,612292244101,hindi,Ariha Audio,64,0,0,64
78,Shri Radha Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033661,612292246655,hindi,Ariha Audio,41,0,0,41
79,Narayana,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032086,612292244033,hindi,Ariha Audio,3,0,0,3
80,Powar,Powar,Horsepowar,USDCH1032127,612292244095,english,Horsepowar Records,1,0,0,1
81,52 Gaj Ka Daman,52 Gaj Ka Daman,Renuka Panwar,INV772001001,630808426407,haryanvi,Desi Records,1193026,0,0,1193026
82,Om Namoh Shivay,Sublime Bhajans Vol - 3,"Partha Pratim Pal, Pabitra Das, Dalia Bhattacharya, Arijit Chakraborty",USDCH1025834,710825994407,hindi,Ariha Audio,43,0,0,43
83,Gaiye Ganapati Jagvandan,Sublime Bhajans Vol 7,Trisha Parui,USDCH1032133,612292244118,hindi,Ariha Audio,73,0,0,73
84,Madhurashtakam,Sublime Bhajans Vol 7,Trisha Parui,USDCH1032137,612292244118,hindi,Ariha Audio,1401,0,0,1401
85,Nainam Chindanti,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032139,612292244118,hindi,Ariha Audio,119,0,0,119
86,Hanuman Chalisa,Sublime Bhajans,Madhura Banerjee,USDCH1021718,711099368024,hindi,Ariha Audio,104,0,0,104
87,Ganesha Pancharatnam,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032134,612292244118,hindi,Ariha Audio,65,0,0,65
88,Gayatri Sahasranama,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033643,612292246655,hindi,Ariha Audio,94,0,0,94
89,Shiva Suvarnamala Stuti,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032141,612292244118,hindi,Ariha Audio,398,0,0,398
90,Sandesa,Sandesa,Bohemia,USDCH1032126,612292244088,punjabi,Kali Denali Music,1031,0,0,1031
91,Raag Khammaj,Simply Amjad Ali Khan - Vol. 03,Ustad Amjad Ali Khan,USDCH1043469,630808426483,hindi,Sarod Records,1,0,0,1
92,Snake Charmer,Snake Charmer,Raf Saperra,USDCH1044066,610840010253,punjabi,Snake Charmer,19,0,0,19
93,Shirdi Sai Baba Shasranam,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033653,612292246655,hindi,Ariha Audio,15,0,0,15
94,Guru Brahma,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032098,612292244033,hindi,Ariha Audio,100,0,0,100
95,Maa Durga Sahasranaam,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033650,612292246655,hindi,Ariha Audio,31,0,0,31
96,Shri Krishna Govinda,Sublime Bhajans Vol 6,Trisha Parui,USDCH1032131,612292244101,hindi,Ariha Audio,344,0,0,344
97,Maha Mritunjaya Mantra,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033651,612292246655,hindi,Ariha Audio,265,0,0,265
98,Jai Radha Madhav,Sublime Bhajans,Trisha Parui,USDCH1021721,711099368024,hindi,Ariha Audio,470,0,0,470
99,Raag Multani,Simply Amjad Ali Khan - Vol. 02,Ustad Amjad Ali Khan,USDCH1043465,630808426476,hindi,Sarod Records,1,0,0,1
100,Shri Ganesh Amritwaani,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033656,612292246655,hindi,Ariha Audio,31,0,0,31
101,Krishna Gopala,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032095,612292244033,hindi,Ariha Audio,4,0,0,4
102,Hanuman Chalisa,Sublime Bhajans Vol - 10,Avijit Das,USDCH1036773,612292253615,hindi,Ariha Audio,2,0,0,2
103,Govinda Bolo Hari Gopala,Sublime Bhajans,Madhura Banerjee,USDCH1021717,711099368024,hindi,Ariha Audio,398,0,0,398
104,Sri Lalitha Sahasranamam,Sublime Bhajans Vol - 9,Minakshi Majumdar,USDCH1036771,612292253448,hindi,Ariha Audio,14,0,0,14
105,Raag Bilaskhani Todi,Simply Amjad Ali Khan - Vol. 01,Ustad Amjad Ali Khan,USDCH1043464,630808426469,hindi,Sarod Records,2,0,0,2
106,Sri Ramachandra,Sublime Bhajans Vol 6,Arijit Chakraborty,USDCH1032132,612292244101,hindi,Ariha Audio,64,0,0,64
107,Shri Lakshmi Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033660,612292246655,hindi,Ariha Audio,3,0,0,3
108,Hanuman Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033647,612292246655,hindi,Ariha Audio,8,0,0,8
109,Govind Bolo,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032097,612292244033,hindi,Ariha Audio,3,0,0,3
110,Shiva Aahvaan Mantra,Sublime Bhajans Vol 7,Minakshi Majumdar,USDCH1032140,612292244118,hindi,Ariha Audio,121,0,0,121
111,Aarti Kunj Bihari Ki,Sublime Bhajans Vol - 2,Trisha Parui,USDCH1024447,709586781524,hindi,Ariha Audio,0,26,0,26
112,Hey Dukh Bhanjan Maruti Nandan,Sublime Bhajans Vol - 9,Gourab Shome,USDCH1036766,612292253448,hindi,Ariha Audio,0,18,0,18
113,Aayo Kaha Se Ghanshyam,Sublime Bhajans,Trisha Parui,USDCH1021715,711099368024,hindi,Ariha Audio,0,9,0,9
114,Hare Rama Hare Krishna,Sublime Bhajans,Madhura Banerjee,USDCH1021719,711099368024,hindi,Ariha Audio,0,55,0,55
115,Yamuna Ka Tat suna,Sublime Bhajans Vol - 10,Swati Prasad,USDCH1036776,612292253615,hindi,Ariha Audio,0,8,0,8
116,Gopal Sahasranaam,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033644,612292246655,hindi,Ariha Audio,0,4,0,4
117,Parameshwari,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032088,612292244033,hindi,Ariha Audio,0,1,0,1
118,Asatoma Sadgamaya,Sublime Bhajans Vol - 3,Trisha Parui,USDCH1025832,710825994407,hindi,Ariha Audio,0,5,0,5
119,Durga Chalisa,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036762,612292253448,hindi,Ariha Audio,0,1,0,1
120,Raaz,Raaz,Bohemia,USDCH1043320,630808425981,punjabi,Desi Hip Hop Publishing Company,0,279,0,279
121,Jaa Tose Nahi Bolu Kanhaiya,Sublime Bhajans,Arijit Chakraborty,USDCH1021720,711099368024,hindi,Ariha Audio,0,3,0,3
122,Pehli Nazar,Pehli Nazar,"Saifar1, Devika",USDCH1500002,711099362619,hindi,Faith Records & sifar1,0,1,0,1
123,Thinking About You,Thinking About You,"Sofia, Bohemia",USDCH1031994,612292243746,english,Kali Denali Music,0,95,0,95
124,Kashi Ke Vashi,Sublime Bhajans Vol - 10,Avijit Das,USDCH1036774,612292253615,hindi,Ariha Audio,0,11,0,11
125,Maya Tera Kanha,Sublime Bhajans Vol - 10,"Swati Prasad, Rupali Zain",USDCH1036775,612292253615,hindi,Ariha Audio,0,3,0,3
126,Shri Krishna Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033658,612292246655,hindi,Ariha Audio,0,1,0,1
127,Hare Krishna Hare Rama,Sublime Bhajans Vol 7,Arijit Chakraborty,USDCH1032136,612292244118,hindi,Ariha Audio,0,18,0,18
